trial_id,condition,noise_seed,offset_id,start_radius,start_angle_rad,start_x,start_y,status,success,transition_time,first_entry_time,relapse,control_cost_l2,control_effort_l1,endpoint_x,endpoint_y,endpoint_distance_to_c2,endpoint_nearest_cluster,min_distance_to_c2,path_length,steps_completed
O01-N04-minimal_control,minimal_control,4,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.64,3.7,False,0.40000000000000324,2.0000000000000013,13.298512845240573,25.817056931013,0.2721492973046812,C2,0.14560059571310593,7.406955336363441,1250
O01-N04-capture_hook_lock_off,capture_hook_lock_off,4,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.893097058880769,1.8319919525743464,13.298512845240516,25.81705693101291,0.272149297304783,C2,0.03606408008951005,6.144787696630799,1250
O01-N04-capture_hook_lock_on,capture_hook_lock_on,4,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.6133445435222438,5.938252540078798,13.399730056766115,25.886876284695834,0.15116559291169554,C2,0.018180712187986267,6.0873563229882075,1250
O01-N05-free_field,free_field,5,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.250430632933586,31.275682125970892,5.328786731436515,C3,3.250400625908026,5.193783207467421,1250
O01-N05-minimal_control,minimal_control,5,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.96,4.0200000000000005,False,0.40000000000000324,2.0000000000000013,13.298154347691664,25.81564668123862,0.27336388476555046,C2,0.1557032611907695,7.59697735611779,1250
O01-N05-capture_hook_lock_off,capture_hook_lock_off,5,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.8554995086956363,1.8215750181099046,13.298154347691518,25.81564668123854,0.2733638847657107,C2,0.026528761140355416,6.145849215380308,1250
O01-N05-capture_hook_lock_on,capture_hook_lock_on,5,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.561177953084262,5.875693713849346,13.401761730124042,25.88783363174536,0.14910416438066845,C2,0.020853321538289026,6.077493328109061,1250
O01-N06-free_field,free_field,6,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.502895076957595,30.976932409533504,5.076972990321177,C3,3.2407214238467303,5.181271887269188,1250
O01-N06-minimal_control,minimal_control,6,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.88,3.94,False,0.40000000000000324,2.0000000000000013,13.299589479637103,25.826565534996778,0.2650356397224365,C2,0.160218344998728,7.543028237633872,1250
O01-N06-capture_hook_lock_off,capture_hook_lock_off,6,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.8643900840099046,1.823977301473311,13.299589479637023,25.826565534996668,0.265035639722569,C2,0.033115699482714846,6.17794875196486,1250
O01-N06-capture_hook_lock_on,capture_hook_lock_on,6,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.586935642780705,5.931715781616303,13.39864485850034,25.893610211786072,0.1469409804806696,C2,0.02251956842852814,6.124590660582955,1250
O01-N07-free_field,free_field,7,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.251615687865346,31.227323890980944,5.2810833361598695,C3,3.252783075161459,5.164699262751439,1250
