corpus,carrier_id,series_id,pair,cut,actuator,cycle,value_kind,value_deg,n2_signed_centideg,block2_abs_mod100,station11_hit,n3_signed_millideg,block3_last2_abs_mod100
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c1,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,1,paired_cycle_kappa_deg,-0.4806114513166051,-48,48,0,-481,81
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c2,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,2,paired_cycle_kappa_deg,-0.550099726752677,-55,55,1,-550,50
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c3,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,3,paired_cycle_kappa_deg,-0.5007499921134695,-50,50,0,-501,1
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c4,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,4,paired_cycle_kappa_deg,-0.4711202681708926,-47,47,0,-471,71
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c5,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,5,paired_cycle_kappa_deg,-0.4428428624910623,-44,44,1,-443,43
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c6,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,6,paired_cycle_kappa_deg,-0.43699776272632107,-44,44,1,-437,37
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c7,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,7,paired_cycle_kappa_deg,-0.4142944870067993,-41,41,0,-414,14
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c8,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,8,paired_cycle_kappa_deg,-0.4071147420051773,-41,41,0,-407,7
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c9,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,9,paired_cycle_kappa_deg,-0.39103243840210666,-39,39,0,-391,91
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c10,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P05_BEFORE_AFTER_EQ,B_MINUS_A,2,10,paired_cycle_kappa_deg,-0.31610676191013454,-32,32,0,-316,16
