corpus,view,operator,precision,record_count,palindrome_count,palindrome_fraction,palindrome_uniform_digit_null,palindrome_enrichment_p,prime_code_count,prime_code_fraction,prime_code_uniform_integer_null,prime_code_enrichment_p,palindrome_enrichment_fdr,prime_code_enrichment_fdr
SUMMARY_12,sqrt2_scaled_control,ROUND_HALF_UP,2,12,0,0.0,0.1,1.0,2,0.16666666666666666,0.25,0.8416182398796082,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,ROUND_HALF_UP,3,12,1,0.08333333333333333,0.1,0.7175704635190001,1,0.08333333333333333,0.168,0.8899779037025518,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,ROUND_HALF_UP,4,12,0,0.0,0.01,1.0,3,0.25,0.1229,0.1755278386303942,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,ROUND_HALF_UP,5,12,0,0.0,0.01,1.0,0,0.0,0.09592,1.0,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,ROUND_HALF_UP,6,12,0,0.0,0.001,1.0,1,0.08333333333333333,0.078498,0.6250655161477932,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,2,12,0,0.0,0.1,1.0,2,0.16666666666666666,0.25,0.8416182398796082,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,3,12,0,0.0,0.1,1.0,1,0.08333333333333333,0.168,0.8899779037025518,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,4,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.1229,0.44414812725181363,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,5,12,0,0.0,0.01,1.0,0,0.0,0.09592,1.0,1.0,1.0
SUMMARY_12,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,6,12,0,0.0,0.001,1.0,1,0.08333333333333333,0.078498,0.6250655161477932,1.0,1.0
